ᎦᏗᎭ.	I am saying.
ᎣᏍᏙᎵᎦ.	He and I, we understood it recently.
ᎢᏙᎵᎦ.	You all and I, we understood it recently.
ᎣᏦᎵᎦ.	They and I, we understood it recently.
ᏍᏙᎵᎦ.	You two understood it recently.
ᏍᏙᎵᎦ.	He recognized you two recently.
ᎢᏦᎵᎦ.	You all understood it recently.
ᎢᏦᎵᎦ.	He recognized you all recently.
ᎠᏃᎵᎦ.	They understood it recently.
ᎠᏃᎵᎦ.	They recognized him recently.
ᎠᏉᎵᏍᏗ.	For me to understand it.
ᎠᏉᎵᏍᏗ.	For him to recognize me.
ᏦᎵᏍᏗ.	For you one to understand it.
ᏦᎵᏍᏗ.	For him to recognize you one.
ᎤᏬᎵᏍᏗ.	For him to understand it.
ᎤᏬᎵᏍᏗ.	For him to recognize him.
ᎩᏃᎵᏍᏗ.	For us, you one and me, to understand it.
ᎩᏃᎵᏍᏗ.	For him to recognize us, you one and me.
ᎣᎩᏃᎵᏍᏗ.	For us, him and me, to understand it.
ᎣᎩᏃᎵᏍᏗ.	For him to recognize us, him and me.
ᎣᎩᏃᎵᏍᏗ.	For us, him and me, to be recognized.
ᎢᎪᎵᏍᏗ.	For us, you all and me, to understand it.
ᎢᎪᎵᏍᏗ.	For him to recognize us, you all and me.
ᎣᎪᎵᏍᏗ.	For us, them and me, to understand it.
ᎣᎪᎵᏍᏗ.	For him to recognize us, them and me.
ᎣᎪᎵᏍᏗ.	For us, them and me, to be recognized.
ᏍᏙᎵᏍᏗ.	For you two to understand it.
ᏍᏙᎵᏍᏗ.	For him to recognize you two.
ᎢᏦᎵᏍᏗ.	For you all to understand it.
ᎢᏦᎵᏍᏗ.	For him to recognize you all.
ᎤᏃᎵᏍᏗ.	For them to understand it.
ᎤᏃᎵᏍᏗ.	For them to recognize him.
ᎬᏲᎵᎦ.	I recognize you one.
ᏥᏲᎵᎦ.	I recognize him.
ᏍᏛᏲᎵᎦ.	I recognize you two.
ᏍᏛᏲᎵᎦ.	He and I, we recognize you one.
ᎢᏨᏲᎵᎦ.	I recognize you all.
ᎢᏨᏲᎵᎦ.	He and I, we recognize you all.
ᎢᏨᏲᎵᎦ.	They and I, we recognize you one.
ᎦᏥᏲᎵᎦ.	I recognize them-animate.
ᏍᏉᎵᎦ.	You one recognize me.
ᎯᏲᎵᎦ.	You one recognize him.
ᏍᎩᏃᎵᎦ.	You one recognize us, him and me.
ᏍᎩᏃᎵᎦ.	You two recognize me.
ᎢᏍᎩᏲᎵᎦ.	You one recognize us, them and me.
ᎢᏍᎩᏲᎵᎦ.	You two recognize us, them and me.
ᎢᏍᎩᏲᎵᎦ.	You all recognize me.
ᎢᏍᎩᏲᎵᎦ.	You all recognize us, him and me.
ᎢᏍᎩᏲᎵᎦ.	You all recognize us, them and me.
ᎦᎯᏲᎵᎦ.	You one recognize them-animate.
ᎠᏉᎵᎦ.	He recognizes me.
ᏦᎵᎦ.	He recognizes you one.
ᎩᏃᎵᎦ.	He recognizes us, you one and me.
ᎣᎩᏃᎵᎦ.	He recognizes us, him and me.
ᎣᎩᏃᎵᎦ.	He and I, we are being recognized.
ᎢᎪᎵᎦ.	He recognizes us, you all and me.
ᎣᎪᎵᎦ.	He recognizes us, them and me.
ᎣᎪᎵᎦ.	They and I, we are being recognized.
ᏕᎪᎵᎦ.	He recognizes them-animate.
ᎡᏃᎵᎦ.	You one and I, we recognize him.
ᎨᏃᎵᎦ.	You one and I, we recognize them-animate.
ᎣᏍᏙᎵᎦ.	He and I, we recognize him.
ᏍᏛᏲᎵᎦ.	He and I, we recognize you two.
ᎪᏍᏙᎵᎦ.	He and I, we recognize them-animate.
ᎡᏙᎵᎦ.	You all and I, we recognize him.
ᎨᏙᎵᎦ.	You all and I, we recognize them-animate.
ᎣᏦᎵᎦ.	They and I, we recognize him.
ᎢᏨᏲᎵᎦ.	They and I, we recognize you two.
ᎢᏨᏲᎵᎦ.	They and I, we recognize you all.
ᎪᏦᎵᎦ.	They and I, we recognize them-animate.
ᎡᏍᏙᎵᎦ.	You two recognize him.
ᎡᏍᏙᎵᎦ.	You two are being recognized.
ᏍᎩᏃᎵᎦ.	You two recognize us, him and me.
ᎨᏍᏙᎵᎦ.	You two recognize them-animate.
ᎨᏍᏙᎵᎦ.	They recognize you two.
ᎡᏦᎵᎦ.	You all recognize him.
ᎡᏦᎵᎦ.	You all are being recognized.
ᎨᏦᎵᎦ.	You all recognize them-animate.
ᎨᏦᎵᎦ.	They recognize you one.
ᎨᏦᎵᎦ.	They recognize you all.
ᎬᏉᎵᎦ.	They recognize me.
ᎨᎩᏃᎵᎦ.	They recognize us, you one and me.
ᎪᎩᏃᎵᎦ.	They recognize us, him and me.
ᎨᎪᎵᎦ.	They recognize us, you all and me.
ᎪᎪᎵᎦ.	They recognize us, them and me.
ᏓᏃᎵᎦ.	They recognize them-animate.
ᎥᏉᎵᎦ.	I am being recognized.
ᎡᏦᎵᎦ.	You one are being recognized.
ᎠᎪᎵᎦ.	He is being recognized.
ᎡᎩᏃᎵᎦ.	You one and I, we are being recognized.
ᎡᎪᎵᎦ.	You all and I, we are being recognized.
ᎨᎪᎵᎦ.	They are being recognized.
ᎦᏓᏙᎵᎦ.	I recognize myself.
ᎭᏓᏙᎵᎦ.	You one recognize yourself.
ᎠᏓᏙᎵᎦ.	He recognizes himself.
ᎢᎾᏓᏙᎵᎦ.	You one and I, we recognize ourselves.
ᎢᏓᏓᏙᎵᎦ.	You all and I, we recognize ourselves.
ᎣᏍᏓᏓᏙᎵᎦ.	He and I, we recognize ourselves.
ᎣᏣᏓᏙᎵᎦ.	They and I, we recognize ourselves.
ᏍᏓᏓᏙᎵᎦ.	You two recognize yourselves.
ᎢᏣᏓᏙᎵᎦ.	You all recognize yourselves.
ᎠᎾᏓᏙᎵᎦ.	They recognize themselves.
ᏕᎾᏓᏙᎵᎦ.	You one and I, we recognize each other.
ᏕᏓᏓᏙᎵᎦ.	You all and I, we recognize each other.
ᏙᏍᏓᏓᏙᎵᎦ.	He and I, we recognize each other.
ᏙᏣᏓᏙᎵᎦ.	They and I, we recognize each other.
ᏕᏍᏓᏓᏙᎵᎦ.	You two recognize each other.
ᏕᏣᏓᏙᎵᎦ.	You all recognize each other.
ᏓᎾᏓᏙᎵᎦ.	They recognize each other.
ᎬᏲᎵᏨᎢ.	I recognized you one a while ago.
ᏥᏲᎵᏨᎢ.	I recognized him a while ago.
ᏍᏛᏲᎵᏨᎢ.	I recognized you two a while ago.
ᏍᏛᏲᎵᏨᎢ.	He and I, we recognized you one a while ago.
ᎢᏨᏲᎵᏨᎢ.	I recognized you all a while ago.
ᎢᏨᏲᎵᏨᎢ.	He and I, we recognized you all a while ago.
ᎢᏨᏲᎵᏨᎢ.	They and I, we recognized you one a while ago.
ᎦᏥᏲᎵᏨᎢ.	I recognized them-animate a while ago.
ᏍᏉᎵᏨᎢ.	You one recognized me a while ago.
ᎯᏲᎵᏨᎢ.	You one recognized him a while ago.
ᏍᎩᏃᎵᏨᎢ.	You one recognized us, him and me a while ago.
ᏍᎩᏃᎵᏨᎢ.	You two recognized me a while ago.
ᎢᏍᎩᏲᎵᏨᎢ.	You one recognized us, them and me a while ago.
ᎢᏍᎩᏲᎵᏨᎢ.	You two recognized us, them and me a while ago.
ᎢᏍᎩᏲᎵᏨᎢ.	You all recognized me a while ago.
ᎢᏍᎩᏲᎵᏨᎢ.	You all recognized us, him and me a while ago.
ᎢᏍᎩᏲᎵᏨᎢ.	You all recognized us, them and me a while ago.
ᎦᎯᏲᎵᏨᎢ.	You one recognized them-animate a while ago.
ᏚᏬᎵᏨᎢ.	He recognized them-animate a while ago.
ᎡᏃᎵᏨᎢ.	You one and I, we recognized him a while ago.
ᎨᏃᎵᏨᎢ.	You one and I, we recognized them-animate a while ago.
ᎣᏍᏙᎵᏨᎢ.	He and I, we recognized him a while ago.
ᏍᏛᏲᎵᏨᎢ.	He and I, we recognized you two a while ago.
ᎪᏍᏙᎵᏨᎢ.	He and I, we recognized them-animate a while ago.
ᎡᏙᎵᏨᎢ.	You all and I, we recognized him a while ago.
ᎨᏙᎵᏨᎢ.	You all and I, we recognized them-animate a while ago.
ᎣᏦᎵᏨᎢ.	They and I, we recognized him a while ago.
ᎢᏨᏲᎵᏨᎢ.	They and I, we recognized you two a while ago.
ᎢᏨᏲᎵᏨᎢ.	They and I, we recognized you all a while ago.
ᎪᏦᎵᏨᎢ.	They and I, we recognized them-animate a while ago.
ᎡᏍᏙᎵᏨᎢ.	You two recognized him a while ago.
ᎡᏍᏙᎵᏨᎢ.	You two were recognized a while ago.
ᏍᎩᏃᎵᏨᎢ.	You two recognized us, him and me a while ago.
ᎨᏍᏙᎵᏨᎢ.	You two recognized them-animate a while ago.
ᎨᏍᏙᎵᏨᎢ.	They recognized you two a while ago.
ᎡᏦᎵᏨᎢ.	You all recognized him a while ago.
ᎡᏦᎵᏨᎢ.	You all were recognized a while ago.
ᎨᏦᎵᏨᎢ.	You all recognized them-animate a while ago.
ᎨᏦᎵᏨᎢ.	They recognized you one a while ago.
ᎨᏦᎵᏨᎢ.	They recognized you all a while ago.
ᎬᏉᎵᏨᎢ.	They recognized me a while ago.
ᎨᎩᏃᎵᏨᎢ.	They recognized us, you one and me a while ago.
ᎪᎩᏃᎵᏨᎢ.	They recognized us, him and me a while ago.
ᎨᎪᎵᏨᎢ.	They recognized us, you all and me a while ago.
ᎪᎪᎵᏨᎢ.	They recognized us, them and me a while ago.
ᏚᏃᎵᏨᎢ.	They recognized them-animate a while ago.
ᎥᏉᎵᏨᎢ.	I was recognized a while ago.
ᎡᏦᎵᏨᎢ.	You one were recognized a while ago.
ᎠᎪᎵᏨᎢ.	He was recognized a while ago.
ᎡᎩᏃᎵᏨᎢ.	You one and I, we were recognized a while ago.
ᎡᎪᎵᏨᎢ.	You all and I, we were recognized a while ago.
ᎨᎪᎵᏨᎢ.	They were recognized a while ago.
ᏍᏓᏓᏙᎵᏨᎢ.	You two recognized yourselves a while ago.
ᎢᏣᏓᏙᎵᏨᎢ.	You all recognized yourselves a while ago.
ᎠᏆᏓᏙᎵᏨᎢ.	I recognized myself a while ago.
ᏣᏓᏙᎵᏨᎢ.	You one recognized yourself a while ago.
ᎤᏓᏙᎵᏨᎢ.	He recognized himself a while ago.
ᎩᎾᏓᏙᎵᏨᎢ.	You one and I, we recognized ourselves a while ago.
ᎢᎦᏓᏙᎵᏨᎢ.	You all and I, we recognized ourselves a while ago.
ᎣᎩᎾᏓᏙᎵᏨᎢ.	He and I, we recognized ourselves a while ago.
ᎣᎦᏓᏙᎵᏨᎢ.	They and I, we recognized ourselves a while ago.
ᎤᎾᏓᏙᎵᏨᎢ.	They recognized themselves a while ago.
ᏕᏍᏓᏓᏙᎵᏨᎢ.	You two recognized each other a while ago.
ᏕᏣᏓᏙᎵᏨᎢ.	You all recognized each other a while ago.
ᏕᎩᎾᏓᏙᎵᏨᎢ.	You one and I, we recognized each other a while ago.
ᏕᎦᏓᏙᎵᏨᎢ.	You all and I, we recognized each other a while ago.
ᏙᎩᎾᏓᏙᎵᏨᎢ.	He and I, we recognized each other a while ago.
ᏙᎦᏓᏙᎵᏨᎢ.	They and I, we recognized each other a while ago.
ᏚᎾᏓᏙᎵᏨᎢ.	They recognized each other a while ago.
ᎬᏲᎵᎪᎢ.	I often recognize you one.
ᏥᏲᎵᎪᎢ.	I often recognize him.
ᏍᏛᏲᎵᎪᎢ.	I often recognize you two.
ᏍᏛᏲᎵᎪᎢ.	He and I, we often recognize you one.
ᎢᏨᏲᎵᎪᎢ.	I often recognize you all.
ᎢᏨᏲᎵᎪᎢ.	He and I, we often recognize you all.
ᎢᏨᏲᎵᎪᎢ.	They and I, we often recognize you one.
ᎦᏥᏲᎵᎪᎢ.	I often recognize them-animate.
ᏍᏉᎵᎪᎢ.	You one often recognize me.
ᎯᏲᎵᎪᎢ.	You one often recognize him.
ᏍᎩᏃᎵᎪᎢ.	You one often recognize us, him and me.
ᏍᎩᏃᎵᎪᎢ.	You two often recognize me.
ᎢᏍᎩᏲᎵᎪᎢ.	You one often recognize us, them and me.
ᎢᏍᎩᏲᎵᎪᎢ.	You two often recognize us, them and me.
ᎢᏍᎩᏲᎵᎪᎢ.	You all often recognize me.
ᎢᏍᎩᏲᎵᎪᎢ.	You all often recognize us, him and me.
ᎢᏍᎩᏲᎵᎪᎢ.	You all often recognize us, them and me.
ᎦᎯᏲᎵᎪᎢ.	You one often recognize them-animate.
ᎠᏉᎵᎪᎢ.	He often recognizes me.
ᏦᎵᎪᎢ.	He often recognizes you one.
ᎩᏃᎵᎪᎢ.	He often recognizes us, you one and me.
ᎣᎩᏃᎵᎪᎢ.	He often recognizes us, him and me.
ᎣᎩᏃᎵᎪᎢ.	He and I, we are often recognized.
ᎢᎪᎵᎪᎢ.	He often recognizes us, you all and me.
ᎣᎪᎵᎪᎢ.	He often recognizes us, them and me.
ᎣᎪᎵᎪᎢ.	They and I, we are often recognized.
ᏕᎪᎵᎪᎢ.	He often recognizes them-animate.
ᎡᏃᎵᎪᎢ.	You one and I, we often recognize him.
ᎨᏃᎵᎪᎢ.	You one and I, we often recognize them-animate.
ᎣᏍᏙᎵᎪᎢ.	He and I, we often recognize him.
ᏍᏛᏲᎵᎪᎢ.	He and I, we often recognize you two.
ᎪᏍᏙᎵᎪᎢ.	He and I, we often recognize them-animate.
ᎡᏙᎵᎪᎢ.	You all and I, we often recognize him.
ᎨᏙᎵᎪᎢ.	You all and I, we often recognize them-animate.
ᎣᏦᎵᎪᎢ.	They and I, we often recognize him.
ᎢᏨᏲᎵᎪᎢ.	They and I, we often recognize you two.
ᎢᏨᏲᎵᎪᎢ.	They and I, we often recognize you all.
ᎪᏦᎵᎪᎢ.	They and I, we often recognize them-animate.
ᎡᏍᏙᎵᎪᎢ.	You two often recognize him.
ᎡᏍᏙᎵᎪᎢ.	You two are often recognized.
ᏍᎩᏃᎵᎪᎢ.	You two often recognize us, him and me.
ᎨᏍᏙᎵᎪᎢ.	You two often recognize them-animate.
ᎨᏍᏙᎵᎪᎢ.	They often recognize you two.
ᎡᏦᎵᎪᎢ.	You all often recognize him.
ᎡᏦᎵᎪᎢ.	You all are often recognized.
ᎨᏦᎵᎪᎢ.	You all often recognize them-animate.
ᎨᏦᎵᎪᎢ.	They often recognize you one.
ᎨᏦᎵᎪᎢ.	They often recognize you all.
ᎬᏉᎵᎪᎢ.	They often recognize me.
ᎨᎩᏃᎵᎪᎢ.	They often recognize us, you one and me.
ᎪᎩᏃᎵᎪᎢ.	They often recognize us, him and me.
ᎨᎪᎵᎪᎢ.	They often recognize us, you all and me.
ᎪᎪᎵᎪᎢ.	They often recognize us, them and me.
ᏓᏃᎵᎪᎢ.	They often recognize them-animate.
ᎥᏉᎵᎪᎢ.	I am often recognized.
ᎡᏦᎵᎪᎢ.	You one are often recognized.
ᎠᎪᎵᎪᎢ.	He is often recognized.
ᎡᎩᏃᎵᎪᎢ.	You one and I, we are often recognized.
ᎡᎪᎵᎪᎢ.	You all and I, we are often recognized.
ᎨᎪᎵᎪᎢ.	They are often recognized.
ᎦᏓᏙᎵᎪᎢ.	I often recognize myself.
ᎭᏓᏙᎵᎪᎢ.	You one often recognize yourself.
ᎠᏓᏙᎵᎪᎢ.	He often recognizes himself.
ᎢᎾᏓᏙᎵᎪᎢ.	You one and I, we often recognize ourselves.
ᎢᏓᏓᏙᎵᎪᎢ.	You all and I, we often recognize ourselves.
ᎣᏍᏓᏓᏙᎵᎪᎢ.	He and I, we often recognize ourselves.
ᎣᏣᏓᏙᎵᎪᎢ.	They and I, we often recognize ourselves.
ᏍᏓᏓᏙᎵᎪᎢ.	You two often recognize yourselves.
ᎢᏣᏓᏙᎵᎪᎢ.	You all often recognize yourselves.
ᎠᎾᏓᏙᎵᎪᎢ.	They often recognize themselves.
ᏕᎾᏓᏙᎵᎪᎢ.	You one and I, we often recognize each other.
ᏕᏓᏓᏙᎵᎪᎢ.	You all and I, we often recognize each other.
ᏙᏍᏓᏓᏙᎵᎪᎢ.	He and I, we often recognize each other.
ᏙᏣᏓᏙᎵᎪᎢ.	They and I, we often recognize each other.
ᏕᏍᏓᏓᏙᎵᎪᎢ.	You two often recognize each other.
ᏕᏣᏓᏙᎵᎪᎢ.	You all often recognize each other.
ᏓᎾᏓᏙᎵᎪᎢ.	They often recognize each other.
ᏫᎬᏲᎵᎩ.	Let me recognize you one.
ᏫᏥᏲᎵᎩ.	Let me recognize him.
ᏫᏍᏛᏲᎵᎩ.	Let me recognize you two.
ᏫᏍᏛᏲᎵᎩ.	Let us, him and me, recognize you one.
ᏫᏨᏲᎵᎩ.	Let me recognize you all.
ᏫᏨᏲᎵᎩ.	Let us, him and me, recognize you all.
ᏫᏨᏲᎵᎩ.	Let us, them and me, recognize you one.
ᏫᎦᏥᏲᎵᎩ.	Let me recognize them-animate.
ᏍᏉᎵᎩ.	Let you one recognize me.
ᎯᏲᎵᎩ.	Let you one recognize him.
ᏍᎩᏃᎵᎩ.	Let you one recognize us, him and me.
ᏍᎩᏃᎵᎩ.	Let you two recognize me.
ᎢᏍᎩᏲᎵᎩ.	Let you one recognize us, them and me.
ᎢᏍᎩᏲᎵᎩ.	Let you two recognize us, them and me.
ᎢᏍᎩᏲᎵᎩ.	Let you all recognize me.
ᎢᏍᎩᏲᎵᎩ.	Let you all recognize us, him and me.
ᎢᏍᎩᏲᎵᎩ.	Let you all recognize us, them and me.
ᎦᎯᏲᎵᎩ.	Let you one recognize them-animate.
ᏩᏉᎵᎩ.	Let him recognize me.
ᏫᏦᎵᎩ.	Let him recognize you one.
ᏫᎩᏃᎵᎩ.	Let him recognize us, you one and me.
ᏬᎩᏃᎵᎩ.	Let him recognize us, him and me.
ᏬᎩᏃᎵᎩ.	Let us, him and me, be recognized.
ᏫᎪᎵᎩ.	Let him recognize us, you all and me.
ᏬᎪᎵᎩ.	Let him recognize us, them and me.
ᏬᎪᎵᎩ.	Let us, them and me, be recognized.
ᏫᏍᏙᎵᎩ.	Let him recognize you two.
ᏫᏦᎵᎩ.	Let him recognize you all.
ᏫᏗᎪᎵᎩ.	Let him recognize them-animate.
ᎡᏃᎵᎩ.	Let us, you one and me, recognize him.
ᎨᏃᎵᎩ.	Let us, you one and me, recognize them-animate.
ᏬᏍᏙᎵᎩ.	Let us, him and me, recognize him.
ᏫᏍᏛᏲᎵᎩ.	Let us, him and me, recognize you two.
ᏫᎪᏍᏙᎵᎩ.	Let us, him and me, recognize them-animate.
ᎡᏙᎵᎩ.	Let us, you all and me, recognize him.
ᎨᏙᎵᎩ.	Let us, you all and me, recognize them-animate.
ᏬᏦᎵᎩ.	Let us, them and me, recognize him.
ᏫᏨᏲᎵᎩ.	Let us, them and me, recognize you two.
ᏫᏨᏲᎵᎩ.	Let us, them and me, recognize you all.
ᏫᎪᏦᎵᎩ.	Let us, them and me, recognize them-animate.
ᎡᏍᏙᎵᎩ.	Let you two recognize him.
ᎡᏍᏙᎵᎩ.	Let you two be recognized.
ᏍᎩᏃᎵᎩ.	Let you two recognize us, him and me.
ᎨᏍᏙᎵᎩ.	Let you two recognize them-animate.
ᎡᏦᎵᎩ.	Let you all recognize him.
ᎡᏦᎵᎩ.	Let you all be recognized.
ᎨᏦᎵᎩ.	Let you all recognize them-animate.
ᏫᎬᏉᎵᎩ.	Let them recognize me.
ᏫᎨᏦᎵᎩ.	Let them recognize you one.
ᏫᎨᏦᎵᎩ.	Let them recognize you all.
ᏫᎨᎩᏃᎵᎩ.	Let them recognize us, you one and me.
ᏫᎪᎩᏃᎵᎩ.	Let them recognize us, him and me.
ᏫᎨᎪᎵᎩ.	Let them recognize us, you all and me.
ᏫᎪᎪᎵᎩ.	Let them recognize us, them and me.
ᏫᎨᏍᏙᎵᎩ.	Let them recognize you two.
ᏫᏗᏃᎵᎩ.	Let them recognize them-animate.
ᏮᏉᎵᎩ.	Let me be recognized.
ᎡᏦᎵᎩ.	Let you one be recognized.
ᏩᎪᎵᎩ.	Let him be recognized.
ᎡᎩᏃᎵᎩ.	Let us, you one and me, be recognized.
ᎡᎪᎵᎩ.	Let us, you all and me, be recognized.
ᏫᎨᎪᎵᎩ.	Let them be recognized.
ᏫᎦᏓᏙᎵᎩ.	Let me recognize myself.
ᎭᏓᏙᎵᎩ.	Let you one recognize yourself.
ᏩᏓᏙᎵᎩ.	Let him recognize himself.
ᎢᎾᏓᏙᎵᎩ.	Let us, you one and me, recognize ourselves.
ᎢᏓᏓᏙᎵᎩ.	Let us, you all and me, recognize ourselves.
ᏬᏍᏓᏓᏙᎵᎩ.	Let us, him and me, recognize ourselves.
ᏬᏣᏓᏙᎵᎩ.	Let us, them and me, recognize ourselves.
ᏍᏓᏓᏙᎵᎩ.	Let you two recognize yourselves.
ᎢᏣᏓᏙᎵᎩ.	Let you all recognize yourselves.
ᏩᎾᏓᏙᎵᎩ.	Let them recognize themselves.
ᏗᎾᏙᎵᎩ.	Let us, you one and me, recognize each other.
ᏗᏓᏙᎵᎩ.	Let us, you all and me, recognize each other.
ᏫᏦᏍᏓᏙᎵᎩ.	Let us, him and me, recognize each other.
ᏫᏦᏣᏙᎵᎩ.	Let us, them and me, recognize each other.
ᏗᏍᏓᏙᎵᎩ.	Let you two recognize each other.
ᏗᏣᏙᎵᎩ.	Let you all recognize each other.
ᏫᏗᎾᏙᎵᎩ.	Let them recognize each other.
ᎬᏲᎵᎦ.	I recognized you one recently.
ᏥᏲᎵᎦ.	I recognized him recently.
ᏍᏛᏲᎵᎦ.	I recognized you two recently.
ᏍᏛᏲᎵᎦ.	He and I, we recognized you one recently.
ᎢᏨᏲᎵᎦ.	I recognized you all recently.
ᎢᏨᏲᎵᎦ.	He and I, we recognized you all recently.
ᎢᏨᏲᎵᎦ.	They and I, we recognized you one recently.
ᎦᏥᏲᎵᎦ.	I recognized them-animate recently.
ᏍᏉᎵᎦ.	You one recognized me recently.
ᎯᏲᎵᎦ.	You one recognized him recently.
ᏍᎩᏃᎵᎦ.	You one recognized us recently, him and me.
ᏍᎩᏃᎵᎦ.	You two recognized me recently.
ᎢᏍᎩᏲᎵᎦ.	You one recognized us recently, them and me.
ᎢᏍᎩᏲᎵᎦ.	You two recognized us recently, them and me.
ᎢᏍᎩᏲᎵᎦ.	You all recognized me recently.
ᎢᏍᎩᏲᎵᎦ.	You all recognized us recently, him and me.
ᎢᏍᎩᏲᎵᎦ.	You all recognized us recently, them and me.
ᎦᎯᏲᎵᎦ.	You one recognized them-animate recently.
ᎠᏉᎵᎦ.	He recognized me recently.
ᏦᎵᎦ.	He recognized you one recently.
ᎩᏃᎵᎦ.	He recognized us recently, you one and me.
ᎣᎩᏃᎵᎦ.	He recognized us recently, him and me.
ᎣᎩᏃᎵᎦ.	He and I, we were recognized recently.
ᎢᎪᎵᎦ.	He recognized us recently, you all and me.
ᎣᎪᎵᎦ.	He recognized us recently, them and me.
ᎣᎪᎵᎦ.	They and I, we were recognized recently.
ᏕᎪᎵᎦ.	He recognized them-animate recently.
ᎡᏃᎵᎦ.	You one and I, we recognized him recently.
ᎨᏃᎵᎦ.	You one and I, we recognized them-animate recently.
ᎣᏍᏙᎵᎦ.	He and I, we recognized him recently.
ᏍᏛᏲᎵᎦ.	He and I, we recognized you two recently.
ᎪᏍᏙᎵᎦ.	He and I, we recognized them-animate recently.
ᎡᏙᎵᎦ.	You all and I, we recognized him recently.
ᎨᏙᎵᎦ.	You all and I, we recognized them-animate recently.
ᎣᏦᎵᎦ.	They and I, we recognized him recently.
ᎢᏨᏲᎵᎦ.	They and I, we recognized you two recently.
ᎢᏨᏲᎵᎦ.	They and I, we recognized you all recently.
ᎪᏦᎵᎦ.	They and I, we recognized them-animate recently.
ᎡᏍᏙᎵᎦ.	You two recognized him recently.
ᎡᏍᏙᎵᎦ.	You two were recognized recently.
ᏍᎩᏃᎵᎦ.	You two recognized us recently, him and me.
ᎨᏍᏙᎵᎦ.	You two recognized them-animate recently.
ᎨᏍᏙᎵᎦ.	They recognized you two recently.
ᎡᏦᎵᎦ.	You all recognized him recently.
ᎡᏦᎵᎦ.	You all were recognized recently.
ᎨᏦᎵᎦ.	You all recognized them-animate recently.
ᎨᏦᎵᎦ.	They recognized you one recently.
ᎨᏦᎵᎦ.	They recognized you all recently.
ᎬᏉᎵᎦ.	They recognized me recently.
ᎨᎩᏃᎵᎦ.	They recognized us recently, you one and me.
ᎪᎩᏃᎵᎦ.	They recognized us recently, him and me.
ᎨᎪᎵᎦ.	They recognized us recently, you all and me.
ᎪᎪᎵᎦ.	They recognized us recently, them and me.
ᏓᏃᎵᎦ.	They recognized them-animate recently.
ᎥᏉᎵᎦ.	I was recognized recently.
ᎡᏦᎵᎦ.	You one were recognized recently.
ᎠᎪᎵᎦ.	He was recognized recently.
ᎡᎩᏃᎵᎦ.	You one and I, we were recognized recently.
ᎡᎪᎵᎦ.	You all and I, we were recognized recently.
ᎨᎪᎵᎦ.	They were recognized recently.
ᎦᏓᏙᎵᎦ.	I recognized myself recently.
ᎭᏓᏙᎵᎦ.	You one recognized yourself recently.
ᎠᏓᏙᎵᎦ.	He recognized himself recently.
ᎢᎾᏓᏙᎵᎦ.	You one and I, we recognized ourselves recently.
ᎢᏓᏓᏙᎵᎦ.	You all and I, we recognized ourselves recently.
ᎣᏍᏓᏓᏙᎵᎦ.	He and I, we recognized ourselves recently.
ᎣᏣᏓᏙᎵᎦ.	They and I, we recognized ourselves recently.
ᏍᏓᏓᏙᎵᎦ.	You two recognized yourselves recently.
ᎢᏣᏓᏙᎵᎦ.	You all recognized yourselves recently.
ᎠᎾᏓᏙᎵᎦ.	They recognized themselves recently.
ᏕᎾᏓᏙᎵᎦ.	You one and I, we recognized each other recently.
ᏕᏓᏓᏙᎵᎦ.	You all and I, we recognized each other recently.
ᏙᏍᏓᏓᏙᎵᎦ.	He and I, we recognized each other recently.
ᏙᏣᏓᏙᎵᎦ.	They and I, we recognized each other recently.
ᏕᏍᏓᏓᏙᎵᎦ.	You two recognized each other recently.
ᏕᏣᏓᏙᎵᎦ.	You all recognized each other recently.
ᏓᎾᏓᏙᎵᎦ.	They recognized each other recently.
ᎬᏲᎵᏍᏗ.	For me to recognize you one.
ᏥᏲᎵᏍᏗ.	For me to recognize him.
ᏍᏛᏲᎵᏍᏗ.	For me to recognize you two.
ᏍᏛᏲᎵᏍᏗ.	For us, him and me, to recognize you one.
ᏍᏛᏲᎵᏍᏗ.	For us, him and me, to recognize you two.
ᎢᏨᏲᎵᏍᏗ.	For me to recognize you all.
ᎢᏨᏲᎵᏍᏗ.	For us, him and me, to recognize you all.
ᎢᏨᏲᎵᏍᏗ.	For us, them and me, to recognize you one.
ᎢᏨᏲᎵᏍᏗ.	For us, them and me, to recognize you two.
ᎢᏨᏲᎵᏍᏗ.	For us, them and me, to recognize you all.
ᎦᏥᏲᎵᏍᏗ.	For me to recognize them-animate.
ᏍᏉᎵᏍᏗ.	For you one to recognize me.
ᎯᏲᎵᏍᏗ.	For you one to recognize him.
ᏍᎩᏃᎵᏍᏗ.	For you one to recognize us, him and me.
ᏍᎩᏃᎵᏍᏗ.	For you two to recognize me.
ᏍᎩᏃᎵᏍᏗ.	For you two to recognize us, him and me.
ᎢᏍᎩᏲᎵᏍᏗ.	For you one to recognize us, them and me.
ᎢᏍᎩᏲᎵᏍᏗ.	For you two to recognize us, them and me.
ᎢᏍᎩᏲᎵᏍᏗ.	For you all to recognize me.
ᎢᏍᎩᏲᎵᏍᏗ.	For you all to recognize us, him and me.
ᎢᏍᎩᏲᎵᏍᏗ.	For you all to recognize us, them and me.
ᎦᎯᏲᎵᏍᏗ.	For you one to recognize them-animate.
ᏧᏬᎵᏍᏗ.	For him to recognize them-animate.
